contestant_id,animal_id,strategy_spec,actual_return_pct,monkey_median_pct,excess_over_monkey_pct,percentile_rank,empirical_p_value,significant_95pct
CONTESTANT_D,meerkat-20,P_22_3,8.15%,1.07%,+7.08%,99.7%,0.0030,YES (p < 0.05)
CONTESTANT_D,meerkat-30,P_22_3,6.39%,1.07%,+5.32%,97.5%,0.0250,YES (p < 0.05)
CONTESTANT_D,meerkat-40,P_22_3,2.53%,1.07%,+1.46%,68.2%,0.3177,NO
CONTESTANT_D,meerkat-50,P_22_3,1.25%,1.07%,+0.18%,52.3%,0.4765,NO
CONTESTANT_D,meerkat-60,P_22_3,3.33%,1.07%,+2.27%,79.5%,0.2048,NO
CONTESTANT_D,meerkat-70,P_22_3,2.68%,1.07%,+1.62%,70.0%,0.2997,NO
CONTESTANT_D,meerkat-80,P_22_3,0.85%,1.07%,-0.22%,46.7%,0.5335,NO
CONTESTANT_D,meerkat-90,P_22_3,-5.24%,1.07%,-6.31%,0.7%,0.9930,NO
CONTESTANT_D,eagle-5-1,P_5_1,12.79%,0.35%,+12.44%,97.2%,0.0280,YES (p < 0.05)
CONTESTANT_D,eagle-11-2,P_11_2,12.96%,0.84%,+12.12%,99.7%,0.0030,YES (p < 0.05)
CONTESTANT_D,eagle-44-6,P_44_6,8.31%,1.59%,+6.72%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,eagle-66-9,P_66_9,6.19%,1.94%,+4.25%,99.8%,0.0020,YES (p < 0.05)
CONTESTANT_D,eagle-88-12,P_88_12,6.88%,2.60%,+4.28%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,whale-shark,P_123_17,4.33%,3.70%,+0.63%,81.4%,0.1858,NO
CONTESTANT_E,robot,P_22_3,1.99%,1.07%,+0.92%,61.2%,0.3876,NO
CONTESTANT_E,sloth-1,P_22_3,2.75%,1.07%,+1.68%,71.5%,0.2847,NO
CONTESTANT_E,sloth-2,P_22_3,5.22%,1.07%,+4.15%,93.8%,0.0619,NO
CONTESTANT_E,sloth-3,P_22_3,1.98%,1.07%,+0.91%,61.1%,0.3886,NO
CONTESTANT_E,sloth-4,P_22_3,1.52%,1.07%,+0.45%,56.0%,0.4396,NO
CONTESTANT_E,snail-1,P_22_3,0.13%,1.07%,-0.93%,36.1%,0.6394,NO
CONTESTANT_E,snail-2,P_22_3,0.76%,1.07%,-0.31%,45.5%,0.5455,NO
CONTESTANT_E,snail-3,P_22_3,0.24%,1.07%,-0.83%,37.4%,0.6264,NO
CONTESTANT_E,snail-4,P_22_3,0.58%,1.07%,-0.49%,42.5%,0.5754,NO
CONTESTANT_E,rabbit-1,P_22_11,4.90%,0.70%,+4.20%,92.0%,0.0799,NO
CONTESTANT_E,rabbit-2,P_22_22,3.79%,0.03%,+3.76%,89.7%,0.1029,NO
CONTESTANT_E,turtle,P_22_1,1.14%,1.21%,-0.07%,49.5%,0.5055,NO
CONTESTANT_E,koala,P_22_3,2.72%,1.07%,+1.65%,71.1%,0.2887,NO
CONTESTANT_E,meerkat-10,P_22_3,-0.87%,1.07%,-1.94%,24.0%,0.7602,NO
CONTESTANT_E,meerkat-20,P_22_3,8.56%,1.07%,+7.49%,99.7%,0.0030,YES (p < 0.05)
CONTESTANT_E,meerkat-30,P_22_3,-1.38%,1.07%,-2.45%,18.4%,0.8162,NO
CONTESTANT_E,meerkat-40,P_22_3,5.33%,1.07%,+4.26%,94.1%,0.0589,NO
CONTESTANT_E,meerkat-50,P_22_3,0.64%,1.07%,-0.43%,43.7%,0.5634,NO
CONTESTANT_E,meerkat-60,P_22_3,2.59%,1.07%,+1.53%,69.1%,0.3087,NO
CONTESTANT_E,meerkat-70,P_22_3,-1.53%,1.07%,-2.60%,17.6%,0.8242,NO
CONTESTANT_E,meerkat-80,P_22_3,-0.25%,1.07%,-1.32%,31.3%,0.6873,NO
CONTESTANT_E,meerkat-90,P_22_3,-3.08%,1.07%,-4.15%,6.7%,0.9331,NO
CONTESTANT_E,eagle-5-1,P_5_1,7.89%,0.35%,+7.55%,87.6%,0.1239,NO
CONTESTANT_E,eagle-11-2,P_11_2,4.21%,0.84%,+3.37%,79.6%,0.2038,NO
CONTESTANT_E,eagle-44-6,P_44_6,2.93%,1.59%,+1.33%,77.3%,0.2268,NO
CONTESTANT_E,eagle-66-9,P_66_9,3.34%,1.94%,+1.40%,84.2%,0.1578,NO
CONTESTANT_E,eagle-88-12,P_88_12,2.75%,2.60%,+0.15%,57.8%,0.4216,NO
CONTESTANT_E,whale-shark,P_123_17,3.72%,3.70%,+0.02%,51.8%,0.4815,NO
CONTESTANT_F,robot,P_22_3,5.27%,1.07%,+4.20%,93.9%,0.0609,NO
CONTESTANT_F,sloth-1,P_22_3,4.45%,1.07%,+3.38%,88.8%,0.1119,NO
CONTESTANT_F,sloth-2,P_22_3,5.26%,1.07%,+4.19%,93.9%,0.0609,NO
CONTESTANT_F,sloth-3,P_22_3,2.27%,1.07%,+1.20%,65.1%,0.3487,NO
CONTESTANT_F,sloth-4,P_22_3,2.95%,1.07%,+1.88%,74.3%,0.2567,NO
CONTESTANT_F,snail-1,P_22_3,3.72%,1.07%,+2.66%,83.2%,0.1678,NO
CONTESTANT_F,snail-2,P_22_3,3.51%,1.07%,+2.44%,80.9%,0.1908,NO
CONTESTANT_F,snail-3,P_22_3,3.57%,1.07%,+2.50%,81.6%,0.1838,NO
CONTESTANT_F,snail-4,P_22_3,4.79%,1.07%,+3.72%,91.0%,0.0899,NO
CONTESTANT_F,rabbit-1,P_22_11,-1.94%,0.70%,-2.63%,18.6%,0.8142,NO
CONTESTANT_F,rabbit-2,P_22_22,0.73%,0.03%,+0.70%,59.1%,0.4086,NO
CONTESTANT_F,turtle,P_22_1,5.86%,1.21%,+4.65%,95.7%,0.0430,YES (p < 0.05)
CONTESTANT_F,koala,P_22_3,5.10%,1.07%,+4.03%,93.0%,0.0699,NO
CONTESTANT_F,meerkat-10,P_22_3,0.33%,1.07%,-0.74%,38.8%,0.6124,NO
CONTESTANT_F,meerkat-20,P_22_3,6.19%,1.07%,+5.12%,97.1%,0.0290,YES (p < 0.05)
CONTESTANT_F,meerkat-30,P_22_3,0.65%,1.07%,-0.42%,43.9%,0.5614,NO
CONTESTANT_F,meerkat-40,P_22_3,0.75%,1.07%,-0.32%,45.1%,0.5495,NO
CONTESTANT_F,meerkat-50,P_22_3,2.90%,1.07%,+1.83%,73.9%,0.2607,NO
CONTESTANT_F,meerkat-60,P_22_3,-0.09%,1.07%,-1.15%,33.4%,0.6663,NO
CONTESTANT_F,meerkat-70,P_22_3,-0.71%,1.07%,-1.78%,25.8%,0.7423,NO
CONTESTANT_F,meerkat-80,P_22_3,0.96%,1.07%,-0.11%,47.8%,0.5225,NO
CONTESTANT_F,meerkat-90,P_22_3,-4.30%,1.07%,-5.37%,2.8%,0.9720,NO
CONTESTANT_F,eagle-5-1,P_5_1,8.51%,0.35%,+8.16%,89.1%,0.1089,NO
CONTESTANT_F,eagle-11-2,P_11_2,4.35%,0.84%,+3.51%,80.6%,0.1938,NO
CONTESTANT_F,eagle-44-6,P_44_6,1.29%,1.59%,-0.30%,43.9%,0.5614,NO
CONTESTANT_F,eagle-66-9,P_66_9,1.49%,1.94%,-0.45%,36.1%,0.6394,NO
CONTESTANT_F,eagle-88-12,P_88_12,3.32%,2.60%,+0.72%,77.7%,0.2228,NO
CONTESTANT_F,whale-shark,P_123_17,3.29%,3.70%,-0.41%,25.5%,0.7453,NO
BENCHMARK,taotie,P_ALL_0,2.32%,2.32%,+0.00%,0.0%,1.0000,NO
